source,target
76561198400024070,76561199107519042
76561198400024070,76561199196822614
76561198400024070,76561199218196589
76561198400024070,76561199395531755
76561198400024070,76561199468018015
76561198400024070,76561199469046858
76561198400024070,76561199544217534
76561198400024070,76561199568141946
76561198400024070,76561199689440417
76561198400024070,76561199864339952
76561198408714684,76561197965571095
76561198408714684,76561197990700641
76561198408714684,76561197998051858
76561198408714684,76561198008641545
76561198408714684,76561198011481373
76561198408714684,76561198022027229
76561198408714684,76561198023852370
76561198408714684,76561198026905434
76561198408714684,76561198027783299
76561198408714684,76561198033211097
76561198408714684,76561198042510674
76561198408714684,76561198043976532
76561198408714684,76561198059324866
76561198408714684,76561198065221667
76561198408714684,76561198066531449
76561198408714684,76561198068587516
76561198408714684,76561198069681657
76561198408714684,76561198071794554
76561198408714684,76561198072164154
76561198408714684,76561198072186493
76561198408714684,76561198087247298
76561198408714684,76561198087396645
76561198408714684,76561198093606316
76561198408714684,76561198099973618
76561198408714684,76561198122094018
76561198408714684,76561198123125731
76561198408714684,76561198123273944
76561198408714684,76561198142720350
76561198408714684,76561198145065135
76561198408714684,76561198150545042
76561198408714684,76561198151083360
76561198408714684,76561198156217182
76561198408714684,76561198159230369
76561198408714684,76561198160821692
76561198408714684,76561198161775002
76561198408714684,76561198163974676
76561198408714684,76561198166172086
76561198408714684,76561198173882386
76561198408714684,76561198184596607
76561198408714684,76561198188959243
76561198408714684,76561198202481054
76561198408714684,76561198210030629
76561198408714684,76561198213811807
76561198408714684,76561198252314250
76561198408714684,76561198254493814
76561198408714684,76561198257720019
76561198408714684,76561198259336367
76561198408714684,76561198263369382
76561198408714684,76561198273545006
76561198408714684,76561198281497864
76561198408714684,76561198282906158
76561198408714684,76561198300406769
76561198408714684,76561198305007468
76561198408714684,76561198306617737
76561198408714684,76561198314281176
76561198408714684,76561198315226578
76561198408714684,76561198318225509
76561198408714684,76561198318417814
76561198408714684,76561198322584385
76561198408714684,76561198328339323
76561198408714684,76561198336557358
76561198408714684,76561198346756013
76561198408714684,76561198353358078
76561198408714684,76561198356514632
76561198408714684,76561198360688440
76561198408714684,76561198363173907
76561198408714684,76561198364050589
76561198408714684,76561198366717694
76561198408714684,76561198368430461
76561198408714684,76561198370601489
76561198408714684,76561198373087254
76561198408714684,76561198375093461
76561198408714684,76561198380227444
76561198408714684,76561198387290987
76561198408714684,76561198388807198
76561198408714684,76561198389531835
76561198408714684,76561198393038731
76561198408714684,76561198395532644
76561198408714684,76561198395794719
76561198408714684,76561198398235115
76561198408714684,76561198398468495
76561198408714684,76561198402429416
76561198408714684,76561198402638819
76561198408714684,76561198402714386
76561198408714684,76561198403000568
76561198408714684,76561198403118688
76561198408714684,76561198403963024
76561198408714684,76561198404357091
76561198408714684,76561198404376590
76561198408714684,76561198404915044
76561198408714684,76561198406409801
76561198408714684,76561198410284158
76561198408714684,76561198412614374
76561198408714684,76561198412932460
76561198408714684,76561198413441522
76561198408714684,76561198414051678
76561198408714684,76561198417937425
76561198408714684,76561198418214586
76561198408714684,76561198419669885
76561198408714684,76561198423319593
76561198408714684,76561198423744238
76561198408714684,76561198425238047
76561198408714684,76561198428206280
76561198408714684,76561198428644159
76561198408714684,76561198431359625
76561198408714684,76561198439435820
76561198408714684,76561198441730739
76561198408714684,76561198443567914
76561198408714684,76561198448765734
